,price,location,total_sqft,bhk,bath
228,3900000.0,"Greater Noida West, Greater Noida, Delhi NCR",1040.0,2.0,2.0
229,4600000.0,"Greater Noida West, Greater Noida, Delhi NCR",1090.0,2.0,2.0
230,4600000.0,"Greater Noida West, Greater Noida, Delhi NCR",1195.0,2.0,2.0
231,4500000.0,"Greater Noida West, Greater Noida, Delhi NCR",1060.0,2.0,2.0
234,3200000.0,"Greater Noida West, Greater Noida, Delhi NCR",860.0,2.0,2.0
235,4400000.0,"Greater Noida West, Greater Noida, Delhi NCR",1055.0,2.0,2.0
237,4250000.0,"Greater Noida West, Greater Noida, Delhi NCR",1060.0,2.0,2.0
238,3350000.0,"Greater Noida West, Greater Noida, Delhi NCR",845.0,2.0,2.0
239,4800000.0,"Greater Noida West, Greater Noida, Delhi NCR",1105.0,2.0,2.0
240,4500000.0,"Greater Noida West, Greater Noida, Delhi NCR",1106.0,2.0,2.0
241,4500000.0,"Greater Noida West, Greater Noida, Delhi NCR",1193.0,2.0,3.0
242,3200000.0,"Greater Noida West, Greater Noida, Delhi NCR",850.0,2.0,2.0
244,4400000.0,"Greater Noida West, Greater Noida, Delhi NCR",1100.0,2.0,2.0
247,5100000.0,"Greater Noida West, Greater Noida, Delhi NCR",1285.0,3.0,2.0
248,6200000.0,"Greater Noida West, Greater Noida, Delhi NCR",1500.0,3.0,3.0
249,5000000.0,"Greater Noida West, Greater Noida, Delhi NCR",1225.0,3.0,2.0
250,3100000.0,"Greater Noida West, Greater Noida, Delhi NCR",770.0,2.0,2.0
251,3800000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",995.0,2.0,2.0
253,5750000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1450.0,3.0,2.0
254,3900000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",985.0,2.0,2.0
255,5000000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1220.0,3.0,2.0
256,5500000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1342.0,2.0,2.0
257,4000000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1025.0,2.0,2.0
258,4100000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1150.0,2.0,2.0
